origin,community_url,ends_at,gallery_url,has_finished,has_started,hashtags,hostname,id,location,location_lat,location_lon,logo_url,name,starts_at,summary,webpage_url
hack.opendata.ch,,"Mon, 25 Mar 2024 16:00:00 GMT",https://bucketeer-036aa605-c047-4623-8610-f1764b90cf98.s3.amazonaws.com/openlegallab/1/PUEU2ZV1S74627FXN9D3Y4W3/IMG_20220327_08015201.jpeg,False,False,#OLL24,eJustice.CH Opendata.ch,69,Magglingen,0.0,0.0,https://opendata.ch/wordpress/files/2022/12/LegalLab_2023_Web_021.jpg,Open Legal Lab 2024,"Sun, 24 Mar 2024 09:00:00 GMT",Entwickle in interdisziplinären Teams neue digitale Lösungen für das Schweizer Rechtssystem,https://opendata.ch/events/open-legal-lab-2024/
hack.opendata.ch,,"Sat, 23 Mar 2024 16:00:00 GMT",https://opendata.ch/wordpress/files/2023/07/image.png,False,False,#OFH2024,"Landwirtschaftlichen Zentrums Liebegg, Hightechzentrum Aargau, Opendata.ch",67,Landwirtschaftlichen Zentrum Liebegg,0.0,0.0,https://opendata.ch/wordpress/files/2023/07/image.png,Open Farming Hackdays 2024,"Fri, 22 Mar 2024 09:00:00 GMT",Gestalte auch du die Land- und Ernährungswirtschaft von morgen mit,https://www.farming-hackdays.ch
hack.opendata.ch,,"Sun, 03 Dec 2023 10:00:00 GMT",https://opendata.ch/wordpress/files/2023/07/Save-the-Date-2-2048x1145.png,True,False,#StGallenHack,"Stadt St.Gallen, OST – Ostschweizer Fachhochschule, <IT>rockt!, Opendata.ch",66,"St.Gallen, Leo&Co Coworking",0.0,0.0,"https://static.wixstatic.com/media/adb50b_ed9df51ee3f24ce3a985cfff2980b43c~mv2.jpg/v1/fill/w_2940,h_816,al_c,q_90,usm_0.66_1.00_0.01,enc_auto/adb50b_ed9df51ee3f24ce3a985cfff2980b43c~mv2.jpg",Open Data Hack St.Gallen,"Fri, 01 Dec 2023 16:00:00 GMT",Entwickle in interdisziplinären Teams neue digitale Lösungen für den öffentlichen Sektor,https://www.opendatahacksg.ch
hack.opendata.ch,,"Sat, 16 Sep 2023 16:00:00 GMT",https://images2.imgbox.com/a9/98/FOotU1Iu_o.jpg,True,False,#EDH23 #energydathackdays2023,"Hightechzentrum Aargau, HSLU, Opendata.ch ",61,FHNW Brugg-Windisch,0.0,0.0,https://bucketeer-036aa605-c047-4623-8610-f1764b90cf98.s3.amazonaws.com/public/163/71ZMFIEKTROU65J0ZS3G066V/energy_data_hackdayss.jpg,Energy Data Hackdays 2023 ,"Fri, 15 Sep 2023 09:00:00 GMT",Come and join us for the 5th edition of the Energy Data Hackdays at the FHNW in Brugg and work as a team on the future of energy!,https://energydatahackdays.ch/
hack.opendata.ch,,"Sat, 24 Jun 2023 16:00:00 GMT",https://bucketeer-036aa605-c047-4623-8610-f1764b90cf98.s3.amazonaws.com/upu/1/74RH88QXJX2PBWNWH7T1CJYU/Hackaton23eventsbanner3.jpg,True,False,PostalData,Universal Postal Union,65,Berne,0.0,0.0,https://upload.wikimedia.org/wikipedia/commons/2/2d/Universal_Postal_Union_logo.svg,Postal Data Hackathon 2023,"Fri, 23 Jun 2023 09:00:00 GMT",Unlocking the value of postal data,
hack.opendata.ch,https://twitter.com/hashtag/DataHackdaysBE,"Sat, 13 May 2023 15:00:00 GMT",https://dribdat-impetus.eu-central-1.linodeobjects.com/hackdays/bern/9/IEB8FBJG48NNYQO7MMNESQR5/04b57fb24996b791.jpg,True,False,#DataHackdaysBE,,57,Rathaus Bern,0.0,0.0,https://data-hackdays-be.ch/content/images/size/w256h256/2022/12/Grafik-Final-DE_icon-3.png,Data Hackdays BE 2023,"Fri, 12 May 2023 09:00:00 GMT",Gemeinsam Kanton und Verwaltung datendigital vorwärtsbringen / Avançons le canton et l'administration avec un accès plus facile aux données,https://data-hackdays-be.ch
hack.opendata.ch,,"Mon, 01 May 2023 16:00:00 GMT",https://bucketeer-036aa605-c047-4623-8610-f1764b90cf98.s3.amazonaws.com/openlegallab/1/PUEU2ZV1S74627FXN9D3Y4W3/IMG_20220327_08015201.jpeg,True,False,#OpenLegalLab,eJustice.CH Opendata.ch,63,Magglingen,0.0,0.0,https://opendata.ch/wordpress/files/2022/12/LegalLab_2023_Web_021.jpg,Open Legal Lab 2023,"Sun, 30 Apr 2023 09:00:00 GMT",Entwickle in interdisziplinären Teams neue digitale Lösungen für das Schweizer Rechtssystem,https://opendata.ch/events/open-legal-lab-2023/
hack.opendata.ch,,"Sat, 01 Apr 2023 16:00:00 GMT",https://www.regionales-ostschweiz.ch/media/images/altdorf-021-large.jpg,True,False,#datahackdaysuri,Digital Cluster Uri,64, Zeughaus Altdorf,0.0,0.0,https://bucketeer-036aa605-c047-4623-8610-f1764b90cf98.s3.amazonaws.com/public/163/B1FTQISY7JGH0PZRI9EPQJDN/icondigitaluri.png,Data Hackdays Uri 2023,"Fri, 31 Mar 2023 09:00:00 GMT",Creating Public Value  - Daten für das Gemeinwohl nutzen.,https://erp.digital-cluster-uri.ch/event/data-hackdays-uri-2023-2023-03-31-2023-04-01-2/register
hack.opendata.ch,https://twitter.com/opendatach,"Fri, 24 Mar 2023 16:00:00 GMT",https://opendata.ch/wordpress/files/2022/12/GoVTech_Hackthon_NL_2048x1150.jpg,True,False,#GovTechHack23,Federal Chancellery BK,56,"Federal Office of Information Technology, Systems and Telecommunication BIT",0.0,0.0,https://opendata.ch/wordpress/files/2022/12/GoVTech_Hackthon_NL_2048x1150-1024x575.jpg,GovTech Hackathon 2023,"Thu, 23 Mar 2023 09:00:00 GMT","Collaboratively build, improve and use government APIs",https://opendata.ch/events/govtech-hackathon/
hack.opendata.ch,https://join.slack.com/t/rejoha/shared_invite/zt-1k7nt1hok-gx1BRJs920PjX4eY6FaeNQ,"Sat, 26 Nov 2022 16:00:00 GMT",https://uploads2.wikiart.org/images/juan-gris/newspaper-with-coffee-mill-1915.jpg,True,False,#rejoha22,we.Publish,55,Basel,0.0,0.0,https://opendata.ch/wordpress/files/2022/08/RZ_LOGO_HACKATHON_RGB.png,Rethink Journalism Hackathon 2022,"Fri, 25 Nov 2022 09:00:00 GMT",Join us in the quest to stimulate and promote progressive journalism.,https://opendata.ch/events/rejoha22/
